file_id,file_name,longitude_latitude,buildings
0,BLD00001_PS3_K3A_NIA0276,"[[31.4347031225, 30.0413951468, 0.0], [31.4405428056, 30.0414645232, 0.0], [31.4404632046, 30.0465452603, 0.0], [31.4346232236, 30.0464758698, 0.0]]",215
1,BLD00002_PS3_K3A_NIA0276,"[[31.4405428056, 30.0414645232, 0.0], [31.4463825091, 30.0415336405, 0.0], [31.4463032058, 30.0466143917, 0.0], [31.4404632046, 30.0465452603, 0.0]]",236
2,BLD00004_PS3_K3A_NIA0276,"[[31.4114256639, 30.0360343801, 0.0], [31.4172649673, 30.0361047785, 0.0], [31.4171841957, 30.041185463, 0.0], [31.4113445946, 30.0411150502, 0.0]]",93
3,BLD00006_PS3_K3A_NIA0276,"[[31.4231042913, 30.036174918, 0.0], [31.4289436358, 30.0362447983, 0.0], [31.4288634597, 30.0413255113, 0.0], [31.4230238174, 30.0412556167, 0.0]]",129
4,BLD00008_PS3_K3A_NIA0276,"[[31.4347830009, 30.0363144197, 0.0], [31.4406223863, 30.036383782, 0.0], [31.4405428056, 30.0414645232, 0.0], [31.4347031225, 30.0413951468, 0.0]]",239
5,BLD00011_PS3_K3A_NIA0276,"[[31.388150897, 30.0306695796, 0.0], [31.3939898195, 30.0307409996, 0.0], [31.3939078782, 30.0358216305, 0.0], [31.3880686581, 30.035750196, 0.0]]",45
6,BLD00013_PS3_K3A_NIA0276,"[[31.399828763, 30.0308121607, 0.0], [31.4056677273, 30.0308830628, 0.0], [31.4055863812, 30.0359637226, 0.0], [31.3997471193, 30.0358928061, 0.0]]",39
7,BLD00017_PS3_K3A_NIA0276,"[[31.4231847445, 30.0310942151, 0.0], [31.4290237915, 30.0311640813, 0.0], [31.4289436358, 30.0362447983, 0.0], [31.4231042913, 30.036174918, 0.0]]",259
8,BLD00018_PS3_K3A_NIA0276,"[[31.4290237915, 30.0311640813, 0.0], [31.4348628589, 30.0312336884, 0.0], [31.4347830009, 30.0363144197, 0.0], [31.4289436358, 30.0362447983, 0.0]]",191
9,BLD00034_PS3_K3A_NIA0276,"[[31.4349426965, 30.0261529531, 0.0], [31.4407814868, 30.0262222871, 0.0], [31.4407019467, 30.0313030366, 0.0], [31.4348628589, 30.0312336884, 0.0]]",252
10,BLD00038_PS3_K3A_NIA0276,"[[31.3474476109, 30.02000135, 0.0], [31.35328579, 30.0200745529, 0.0], [31.3532018084, 30.0251550892, 0.0], [31.347363332, 30.0250818714, 0.0]]",195
11,BLD00039_PS3_K3A_NIA0276,"[[31.35328579, 30.0200745529, 0.0], [31.3591239904, 30.0201474969, 0.0], [31.3590403063, 30.0252280481, 0.0], [31.3532018084, 30.0251550892, 0.0]]",12
12,BLD00044_PS3_K3A_NIA0276,"[[31.3824770053, 30.0204366847, 0.0], [31.3883153119, 30.0205083345, 0.0], [31.3882331149, 30.0255889591, 0.0], [31.3823945109, 30.0255172947, 0.0]]",2
13,BLD00047_PS3_K3A_NIA0276,"[[31.3999919879, 30.0206508575, 0.0], [31.4058303572, 30.0207217307, 0.0], [31.4057490526, 30.0258023988, 0.0], [31.3999103859, 30.0257315111, 0.0]]",16
14,BLD00052_PS3_K3A_NIA0276,"[[31.4291840414, 30.0210026348, 0.0], [31.4350225138, 30.0210722136, 0.0], [31.4349426965, 30.0261529531, 0.0], [31.4291039267, 30.0260833601, 0.0]]",224
15,BLD00053_PS3_K3A_NIA0276,"[[31.4350225138, 30.0210722136, 0.0], [31.4408610065, 30.0211415335, 0.0], [31.4407814868, 30.0262222871, 0.0], [31.4349426965, 30.0261529531, 0.0]]",204
16,BLD00056_PS3_K3A_NIA0276,"[[31.3183427842, 30.0145510029, 0.0], [31.3241805575, 30.0146254847, 0.0], [31.3240951108, 30.0197059501, 0.0], [31.3182570402, 30.019631453, 0.0]]",83
17,BLD00057_PS3_K3A_NIA0276,"[[31.3241805575, 30.0146254847, 0.0], [31.3300183527, 30.0146997078, 0.0], [31.3299332033, 30.0197801883, 0.0], [31.3240951108, 30.0197059501, 0.0]]",126
18,BLD00058_PS3_K3A_NIA0276,"[[31.3300183527, 30.0146997078, 0.0], [31.3358561696, 30.0147736722, 0.0], [31.3357713175, 30.0198541677, 0.0], [31.3299332033, 30.0197801883, 0.0]]",59
19,BLD00061_PS3_K3A_NIA0276,"[[31.3475318683, 30.0149208245, 0.0], [31.35336975, 30.0149940125, 0.0], [31.35328579, 30.0200745529, 0.0], [31.3474476109, 30.02000135, 0.0]]",13
20,BLD00074_PS3_K3A_NIA0276,"[[31.4234259811, 30.0158520819, 0.0], [31.4292641356, 30.0159219054, 0.0], [31.4291840414, 30.0210026348, 0.0], [31.4233455895, 30.0209327971, 0.0]]",46
21,BLD00075_PS3_K3A_NIA0276,"[[31.4292641356, 30.0159219054, 0.0], [31.4351023106, 30.01599147, 0.0], [31.4350225138, 30.0210722136, 0.0], [31.4291840414, 30.0210026348, 0.0]]",34
22,BLD00077_PS3_K3A_NIA0276,"[[31.440940506, 30.0160607758, 0.0], [31.4467787217, 30.0161298228, 0.0], [31.4466995196, 30.0212105946, 0.0], [31.4408610065, 30.0211415335, 0.0]]",150
23,BLD00078_PS3_K3A_NIA0276,"[[31.4467787217, 30.0161298228, 0.0], [31.4526169576, 30.0161986109, 0.0], [31.4525380529, 30.0212793967, 0.0], [31.4466995196, 30.0212105946, 0.0]]",197
24,BLD00079_PS3_K3A_NIA0276,"[[31.3067536199, 30.009320839, 0.0], [31.3125910521, 30.0093958231, 0.0], [31.3125050328, 30.0144762622, 0.0], [31.3066673033, 30.0144012628, 0.0]]",267
25,BLD00081_PS3_K3A_NIA0276,"[[31.3184285063, 30.0094705485, 0.0], [31.3242659824, 30.0095450152, 0.0], [31.3241805575, 30.0146254847, 0.0], [31.3183427842, 30.0145510029, 0.0]]",144
26,BLD00085_PS3_K3A_NIA0276,"[[31.3417785413, 30.009766863, 0.0], [31.3476161042, 30.0098402948, 0.0], [31.3475318683, 30.0149208245, 0.0], [31.3416940082, 30.0148473777, 0.0]]",4
27,BLD00091_PS3_K3A_NIA0276,"[[31.37680424, 30.0102035728, 0.0], [31.3826419308, 30.0102754522, 0.0], [31.3825594786, 30.0153560705, 0.0], [31.3767214904, 30.0152841765, 0.0]]",6
28,BLD00092_PS3_K3A_NIA0276,"[[31.3826419308, 30.0102754522, 0.0], [31.3884796427, 30.0103470728, 0.0], [31.3883974878, 30.0154277057, 0.0], [31.3825594786, 30.0153560705, 0.0]]",4
29,BLD00093_PS3_K3A_NIA0276,"[[31.3884796427, 30.0103470728, 0.0], [31.3943173756, 30.0104184347, 0.0], [31.394235518, 30.0154990821, 0.0], [31.3883974878, 30.0154277057, 0.0]]",21
30,BLD00097_PS3_K3A_NIA0276,"[[31.4118306995, 30.0106309677, 0.0], [31.4176685156, 30.0107012945, 0.0], [31.4175878471, 30.0157819996, 0.0], [31.4117497337, 30.0157116584, 0.0]]",231
31,BLD00098_PS3_K3A_NIA0276,"[[31.4176685156, 30.0107012945, 0.0], [31.4235063522, 30.0107713625, 0.0], [31.4234259811, 30.0158520819, 0.0], [31.4175878471, 30.0157819996, 0.0]]",236
32,BLD00106_PS3_K3A_NIA0276,"[[31.3126770495, 30.0043153799, 0.0], [31.3185142066, 30.0043900901, 0.0], [31.3184285063, 30.0094705485, 0.0], [31.3125910521, 30.0093958231, 0.0]]",208
33,BLD00119_PS3_K3A_NIA0276,"[[31.3885617767, 30.0052664358, 0.0], [31.3943992124, 30.0053377831, 0.0], [31.3943173756, 30.0104184347, 0.0], [31.3884796427, 30.0103470728, 0.0]]",28
34,BLD00121_PS3_K3A_NIA0276,"[[31.400236669, 30.0054088718, 0.0], [31.4060741464, 30.0054797017, 0.0], [31.4059929041, 30.0105603821, 0.0], [31.4001551295, 30.0104895378, 0.0]]",90
35,BLD00122_PS3_K3A_NIA0276,"[[31.4060741464, 30.0054797017, 0.0], [31.4119116446, 30.0055502729, 0.0], [31.4118306995, 30.0106309677, 0.0], [31.4059929041, 30.0105603821, 0.0]]",196
36,BLD00123_PS3_K3A_NIA0276,"[[31.4119116446, 30.0055502729, 0.0], [31.4177491634, 30.0056205853, 0.0], [31.4176685156, 30.0107012945, 0.0], [31.4118306995, 30.0106309677, 0.0]]",251
37,BLD00128_PS3_K3A_NIA0276,"[[31.441099444, 30.005899248, 0.0], [31.4469370651, 30.0059682669, 0.0], [31.4468579035, 30.0110490469, 0.0], [31.4410199851, 30.010980014, 0.0]]",260
38,BLD00130_PS3_K3A_NIA0276,"[[31.4527747064, 30.006037027, 0.0], [31.4586123678, 30.0061055284, 0.0], [31.4585338007, 30.0111863364, 0.0], [31.452695842, 30.011117821, 0.0]]",160
39,BLD00135_PS3_K3A_NIA0276,"[[31.3361105958, 29.9995321607, 0.0], [31.3419475428, 29.9996058212, 0.0], [31.3418630529, 30.0046863442, 0.0], [31.3360258087, 30.0046126687, 0.0]]",150
40,BLD00151_PS3_K3A_NIA0276,"[[31.4295042957, 30.0006796924, 0.0], [31.4353415789, 30.0007492145, 0.0], [31.4352618432, 30.0058299705, 0.0], [31.4294242628, 30.0057604341, 0.0]]",282
41,BLD00153_PS3_K3A_NIA0276,"[[31.4411788825, 30.000818478, 0.0], [31.4470162064, 30.0008874828, 0.0], [31.4469370651, 30.0059682669, 0.0], [31.441099444, 30.005899248, 0.0]]",165
42,BLD00154_PS3_K3A_NIA0276,"[[31.4470162064, 30.0008874828, 0.0], [31.4528535505, 30.0009562289, 0.0], [31.4527747064, 30.006037027, 0.0], [31.4469370651, 30.0059682669, 0.0]]",293
43,BLD00157_PS3_K3A_NIA0276,"[[31.3186855414, 29.9942291607, 0.0], [31.3245221262, 29.9943035819, 0.0], [31.3244367667, 29.9993840638, 0.0], [31.3185998849, 29.9993096275, 0.0]]",240
44,BLD00160_PS3_K3A_NIA0276,"[[31.3361953612, 29.9944516486, 0.0], [31.3420320112, 29.9945252941, 0.0], [31.3419475428, 29.9996058212, 0.0], [31.3361105958, 29.9995321607, 0.0]]",134
45,BLD00162_PS3_K3A_NIA0276,"[[31.3478686828, 29.9945986811, 0.0], [31.3537053759, 29.9946718094, 0.0], [31.3536215016, 29.9997523664, 0.0], [31.3477845114, 29.9996792231, 0.0]]",95
46,BLD00163_PS3_K3A_NIA0276,"[[31.3537053759, 29.9946718094, 0.0], [31.3595420904, 29.9947446792, 0.0], [31.3594585131, 29.999825251, 0.0], [31.3536215016, 29.9997523664, 0.0]]",41
47,BLD00164_PS3_K3A_NIA0276,"[[31.3595420904, 29.9947446792, 0.0], [31.3653788263, 29.9948172904, 0.0], [31.365295546, 29.999897877, 0.0], [31.3594585131, 29.999825251, 0.0]]",63
48,BLD00172_PS3_K3A_NIA0276,"[[31.4062365687, 29.9953183283, 0.0], [31.4120734727, 29.9953888708, 0.0], [31.4119925689, 30.0004695739, 0.0], [31.4061553679, 30.0003990171, 0.0]]",148
49,BLD00173_PS3_K3A_NIA0276,"[[31.4120734727, 29.9953888708, 0.0], [31.4179103973, 29.9954591546, 0.0], [31.4178297906, 30.000539872, 0.0], [31.4119925689, 30.0004695739, 0.0]]",252
50,BLD00176_PS3_K3A_NIA0276,"[[31.4295843082, 29.9955989464, 0.0], [31.4354212943, 29.9956684544, 0.0], [31.4353415789, 30.0007492145, 0.0], [31.4295042957, 30.0006796924, 0.0]]",252
51,BLD00178_PS3_K3A_NIA0276,"[[31.4412583008, 29.9957377038, 0.0], [31.4470953276, 29.9958066945, 0.0], [31.4470162064, 30.0008874828, 0.0], [31.4411788825, 30.000818478, 0.0]]",146
52,BLD00180_PS3_K3A_NIA0276,"[[31.4529323746, 29.9958754266, 0.0], [31.4587694417, 29.9959439001, 0.0], [31.4586909148, 30.0010247163, 0.0], [31.4528535505, 30.0009562289, 0.0]]",94
